Previous_Sequence,Previous_Condition,Current_Sequence,Current_Condition
1,0,1,0
1,0,1,1
1,0,2,0
1,0,2,1
1,0,3,0
1,0,3,1
1,1,1,0
1,1,1,1
1,1,2,0
1,1,2,1
1,1,3,0
1,1,3,1
2,0,1,0
2,0,1,1
2,0,2,0
2,0,2,1
2,0,3,0
2,0,3,1
2,1,1,0
2,1,1,1
2,1,2,0
2,1,2,1
2,1,3,0
2,1,3,1
3,0,1,0
3,0,1,1
3,0,2,0
3,0,2,1
3,0,3,0
3,0,3,1
3,1,1,0
3,1,1,1
3,1,2,0
3,1,2,1
3,1,3,0
3,1,3,1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
